text,tag
Scene Classification using Pytorch and Fast.ai The objective is to classify Multi-label images using deep learning. Here I have used Fast.ai library for implementing the model. ,computer-vision
"codeBERT - Automated code docstring review with transformers codeBERT provide a one command line to check if your code docstrings are up-to-date.
",natural-language-processing
"Unsupervised Learning of Probably Symmetric Deformable 3D Objects A method to learn 3D deformable object categories from raw single-view images, without external supervision.",computer-vision
Implementation of a Contextual Chatbot in PyTorch Simple chatbot implementation with PyTorch.,natural-language-processing
"Weight Poisoning Attacks on Pre-trained Models How Bert can be infused with nefarious behavior, even after fine-tuning.",natural-language-processing
🦄 How to build a SOTA Conversational AI with Transfer Learning Train a dialog agent leveraging transfer Learning from an OpenAI GPT and GPT-2 Transformer language model.,natural-language-processing
ELECTRA: Pre-training Text Encoders as Discriminators PyTorch implementation of the electra model from the paper: ELECTRA - Pre-training Text Encoders as Discriminators Rather Than Generators,natural-language-processing
"Adapting Text Augmentation to Industry Problems In this post I will talk about the recent advances in exploiting language models for data generation and also show how, where we can implement them in Industry.",natural-language-processing
Zero-shot Text Classification With Generative Language Models An overview of a text generation approach to zero-shot text classification with GPT-2,natural-language-processing
"Deep Learning for Object Detection: A Comprehensive Review A closer look at Tensorflow’s object detection models: Faster R-CNN, R-FCN, and SSD.",computer-vision
"What I Learned From Looking at 200 Machine Learning Tools To better understand the landscape of available tools for machine learning production, I decided to look up every AI/ML tool I could find.",mlops
"BioBERT: a pre-trained biomedical language representation model  Code for fine-tuning BioBERT for biomedical text mining tasks such as biomedical NER, relation extraction, QA, etc.",natural-language-processing
Bounding Box Prediction from Scratch using PyTorch Multi-Task learning — Bounding Box Regression + Image Classification,computer-vision
"Classify photos in 600 classes using nine million Open Images If you’re looking build an image classifier but need training data, look no further than Google Open Images.",computer-vision
Full Stack Deep Learning Full Stack Deep Learning helps you bridge the gap from training machine learning models to deploying AI systems in the real world.,mlops
Optimizing MobileDet for Mobile Deployments Learn about the criticalities of effectively optimizing MobileDet object detectors for mobile deployments.,natural-language-processing
"niacin A Python library for replacing the missing variation in your text data.

",natural-language-processing
A Visual Exploration of DeepCluster DeepCluster is a self-supervised method to combine clustering and representation learning,computer-vision
No Trump Social Chrome Plugin An AI-driven Browser Extension to Replace Trump Pics with Puppies!,natural-language-processing
HuggingTweets Tweet Generation with Huggingface.,natural-language-processing
Unsupervised Keyphrase Extraction Learn about unsupervised algorithms for automatically extracting representative keyword and phrases from documents,natural-language-processing
Transformers - Hugging Face 🤗 Transformers: State-of-the-art Natural Language Processing for TensorFlow 2.0 and PyTorch. ,natural-language-processing
Latent graph neural networks: Manifold learning 2.0? Parallels between recent works on latent graph learning and older techniques of manifold learning.,natural-language-processing
" Synthesizing High-Resolution Images with StyleGAN2 Developed by NVIDIA Researchers, StyleGAN2 yields state-of-the-art results in data-driven unconditional generative image modeling.",computer-vision
Cartoonizer with TensorFlow.js An app to turn your photos into cartoon-styled images 🎨 within your browsers using White-box Cartoonization GAN.,computer-vision
Face Predicting Web App Interactive Deep Learning Model that utilizes your computer webcam to predict your age and gender in seconds! ,computer-vision
"Cycle GAN in TensorFlow 2.0 with Custom Loops Implementation of ""Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks"" by Jun-Yan Zhu et al. ",computer-vision
"Differentiable Adaptive Computation Time for Visual Reasoning  DACT, a new algorithm for achieving adaptive computation time that, unlike existing approaches, is fully differentiable. ",natural-language-processing
